순위,단계,보스,사도1,사도2,사도3,사도4,사도5,사도6,사도7,사도8,사도9
16,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,티그(영웅),우로스(광기),폴랑,스키아
17,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
18,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
19,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
20,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
21,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(순수),스키아
22,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
23,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
24,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
25,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
26,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
27,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,티그(영웅),네르(빡침),우로스(광기),스키아
28,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
29,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(순수),스키아
30,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
31,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
32,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
33,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
34,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
35,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
36,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
37,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
38,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,티그(영웅),네르(빡침),우로스(광기),스키아
39,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
40,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
41,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
42,27,크레용사용-순수,실비아,벨라,네티,에르핀(왕도),리뉴아,티그(영웅),네르(빡침),우로스(광기),스키아
43,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
44,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
45,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),롤렛
46,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
47,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
48,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
49,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,우이,티그(영웅),우로스(광기),스키아
50,27,크레용사용-순수,실비아,벨라,티그(영웅),에르핀(왕도),리뉴아,아네트,네르(빡침),우로스(광기),스키아
51,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
52,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
53,27,크레용사용-순수,실비아,네티,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
54,27,크레용사용-순수,실비아,네티,네르,에르핀(왕도),리뉴아,티그(영웅),뮤트,우로스(순수),스키아
55,27,크레용사용-순수,실비아,벨라,티그(영웅),에르핀(왕도),리뉴아,아네트,우로스(광기),스키아,모모
56,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
57,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
58,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
59,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
60,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
61,27,크레용사용-순수,실비아,네티,네르,에르핀(왕도),리뉴아,우이,티그(영웅),우로스(광기),스키아
62,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
63,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
64,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,티그(영웅),롤렛,우로스(광기),스키아
65,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
66,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
67,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,우이,티그(영웅),우로스(광기),스키아
68,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,우이,티그(영웅),우로스(광기),스키아
69,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,우이,티그(영웅),우로스(광기),스키아
70,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
71,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
72,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,우이,티그(영웅),우로스(광기),스키아
73,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,우이,티그(영웅),우로스(광기),스키아
74,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,우이,티그(영웅),우로스(광기),스키아
75,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
76,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
77,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
78,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,멜루나,우로스(광기),스키아
79,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
80,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
81,27,크레용사용-순수,실비아,벨라,네티,에르핀(왕도),리뉴아,아네트,네르(빡침),우로스(광기),스키아
82,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
83,27,크레용사용-순수,실비아,벨라,네티,에르핀(왕도),리뉴아,티그(영웅),롤렛,우로스(광기),스키아
84,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
85,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
86,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,우이,티그(영웅),우로스(광기),스키아
87,27,크레용사용-순수,실비아,벨라,헤일리(멀쩡),에르핀(왕도),리뉴아,아네트,스키아,우로스(순수),뮤트
88,27,크레용사용-순수,실비아,벨라,비비,에르핀(왕도),리뉴아,우이,티그(영웅),우로스(순수),스키아
89,27,크레용사용-순수,실비아,벨라,티그(영웅),에르핀(왕도),리뉴아,우이,폴랑,우로스(광기),스키아
90,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
91,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
92,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
93,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
94,27,크레용사용-순수,실비아,벨라,네티,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
95,27,크레용사용-순수,실비아,벨라,비비,에르핀(왕도),리뉴아,우이,네르(빡침),우로스(순수),스키아
96,27,크레용사용-순수,실비아,벨라,네티,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
97,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,우이,티그(영웅),우로스(광기),스키아
98,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
99,27,크레용사용-순수,실비아,벨라,비비,에르핀(왕도),리뉴아,우이,네르(빡침),우로스(광기),스키아
100,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,우이,티그(영웅),우로스(광기),스키아
